"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,JLA,"Joint Learning Areas","Simplified Joint Learning Areas competency framework derived from CJCSM 1810.01A. Each JLA captures the full set of underlying capabilities and skills required for joint officer development.",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,domain
,JLA1,"JLA1: Strategic Thinking and Communications","Demonstrate advanced cognitive and communication abilities, including critical, creative, and systematic thinking; evaluating alternative perspectives; distinguishing reliable from unreliable information; synthesizing complex information; and persuasively communicating with diverse audiences.",1,,,,0,null,,72,,
,JLA2,"JLA2: The Profession of Arms","Demonstrate joint-mindedness and a shared understanding of the profession of arms through sound moral judgment; embodiment and enforcement of professional ethics, norms, and laws; commitment to lifelong learning; and effective joint leadership and followership.",1,,,,0,null,,73,,
,JLA3,"JLA3: The Continuum of Competition, Conflict, and War","Apply expertise in the theory, principles, concepts, and history of warfighting and instruments of national power; understand the nature, character, and conduct of war; and assess how military power contributes to achieving national security objectives across competition and conflict.",1,,,,0,null,,74,,
,JLA4,"JLA4: The Security Environment","Continuously assess the current and future security environment by analyzing historical, cultural, political, military, economic, technological, and innovative factors to identify threats, opportunities, risks, and implications for joint operations and strategy.",1,,,,0,null,,75,,
,JLA5,"JLA5: Strategy and Joint Planning","Apply knowledge of law, policy, doctrine, concepts, processes, and systems to design, assess, revise, and sustain risk- and resource-informed strategies and globally integrated, all-domain joint plans across land, maritime, air, space, and cyber domains.",1,,,,0,null,,76,,
,JLA6,"JLA6: Globally Integrated Operations","Apply U.S., allied, and partner military power to conduct globally integrated, all-domain operations and campaigns with intellectual agility, initiative, adaptability, and adherence to law, ethics, and shared professional values in support of national objectives.",1,,,,0,null,,77,,
