"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"Marine Attributes","NAVMC 1553.1a 5 Marine Competencies",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"behaviour,competency,outcome,skill"
,"a) Adaptability","NAVMC 1553.1a 5a Adaptability","<p dir=""ltr"" style=""text-align:left;"">Consistent willingness and ability to alter attitudes, thoughts, and behaviors to appropriately respond to actual or anticipated change in the environment.</p>",1,,,,0,null,,25,,
,"b) Attentional Control","NAVMC 1553.1a 5b Attentional Control","<p dir=""ltr"" style=""text-align:left;"">Ability to direct and sustain attention on a deliberately chosen target, tolerate sustained attention even when unpleasant, and maintain awareness of own attention.</p>",1,,,,0,null,,26,,
,"c) Metacognition","NAVMC 1553.1a 5c Metacognition","<p dir=""ltr"" style=""text-align:left;"">Thinking about your own thinking; using cognitive strategies to monitor/self-regulate learning and other mental processes.</p>",1,,,,0,null,,27,,
,"d) Problem Solving","NAVMC 1553.1a 5d Problem solving","<p dir=""ltr"" style=""text-align:left;"">Understanding the problem space, generating possible solutions, and applying complex strategies to achieve (or move toward achieving) a specific goal.</p>",1,,,,0,null,,28,,
,"e) Sensemaking","NAVMC 1553.1a 5e Sensemaking","<p dir=""ltr"" style=""text-align:left;"">Understanding connections (i.e. among people, places, and events) in order to anticipate their trajectories, estimate the overall situation, and act effectively.</p>",1,,,,0,null,,29,,
