"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,DLA,"Desired Leader Attributes","Desired Leader Attributes (DLAs) competency framework derived from CJCSM 1810.01A. Each DLA represents a key aspect of long-term joint leader development, encompassing the full set of underlying capabilities and skills required.",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,domain
,DLA1,"DLA1: Security Environment Acumen","Understands the security environment and the contributions of all instruments of national power by evaluating historical, cultural, political, economic, and technological factors to assess threats, opportunities, and risks.",1,,,,0,null,,84,,
,DLA2,"DLA2: Adaptability","Anticipates and responds to surprise and uncertainty by exercising intellectual agility and adapting rapidly to disruptive change across all domains of cooperation, competition, and armed conflict.",1,,,,0,null,,85,,
,DLA3,"DLA3: Transformational Leadership","Recognizes change and leads transitions by demonstrating initiative, understanding ally and partner interests, and guiding organizations through dynamic and complex operational environments.",1,,,,0,null,,86,,
,DLA4,"DLA4: Mission Command","Operates on intent through trust, empowerment, and understanding. Fosters joint-mindedness, collaboration, and consensus-building to achieve unity of effort.",1,,,,0,null,,87,,
,DLA5,"DLA5: Ethical Leadership","Makes ethical decisions based on the shared values of the profession of arms. Demonstrates sound moral judgment and ensures the embodiment and enforcement of professional ethics, norms, and laws.",1,,,,0,null,,88,,
,DLA6,"DLA6: Strategic and Critical Thinking","Thinks critically and strategically in applying joint warfighting principles and concepts. Employs advanced cognitive skills, including creative and systematic thought, to synthesize complex information and inform decision-making.",1,,,,0,null,,89,,
